#,Publish,ProjectTitle-es,Tag,ProjectTitle-es,Job,projectText1,projectText2,slug,SimpleName,Imagesfolder,href,thumbnail,IMG#,Images,Video links,Vid#,Videos,Cliente/Client,Año/Year,Producción/Production,,row
1,TRUE,ASCII Sound Experience,Evento,ASCII Sound Experience,Visuales en vivo/Diseño interactivo,"Una propuesta artística interdisciplinar liderada por el arpista Colombiano Alejandro Diaz, que combina música instrumental en vivo con proyecciones visuales inmersivas FullDome en el planetario de Bogotá. La experiencia invita al público a relajarse, acostado en colchonetas o sentado en sillas, mientras escucha piezas de música ambient para arpa clásica y cuarteto de cuerdas, acompañadas de visuales creados por el colectivo Ebra, Tactil Lab, Julian Angarita Bernal y Nicolás Gamba.","El eje narrativo de la propuesta está inspirado en los seis bardos del budismo tibetano y el viaje del alma a lo largo de su existencia. Cada sesión ofreció al público un momento de introspección, contemplación y bienestar sensorial.",1-ascii-sound-experience,ascii-sound-experience,../projects/1-ascii-sound-experience/,..projects/1-ascii-sound-experience.html,ascii-sound-experience-thumb.jpg,4,"ascii-sound-experience-1.jpg, ascii-sound-experience-2.jpg, ascii-sound-experience-3.jpg, ascii-sound-experience-4.jpg",https://www.youtube.com/watch?v=_Y5U7eIl0NI,1,ascii-sound-experience-1.mp4,ASCII,2017–2025,Colectivo ebra - Táctil lab,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">ASCII Sound Experience</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Visuales en vivo/Diseño interactivo</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/1-ascii-sound-experience/ascii-sound-experience-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/1-ascii-sound-experience/ascii-sound-experience-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/1-ascii-sound-experience/ascii-sound-experience-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
2,TRUE,La cruzada de los niños nómadas,Teatro,La cruzada de los niños nómadas,Visuales en vivo/Diseño interactivo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",2-la-cruzada-de-los-ninos-nomadas,la-cruzada-de-los-ninos-nomadas,../projects/2-la-cruzada-de-los-ninos-nomadas/,..projects/2-la-cruzada-de-los-ninos-nomadas.html,la-cruzada-de-los-ninos-nomadas-thumb.jpg,5,"la-cruzada-de-los-ninos-nomadas-1.jpg, la-cruzada-de-los-ninos-nomadas-2.jpg, la-cruzada-de-los-ninos-nomadas-3.jpg, la-cruzada-de-los-ninos-nomadas-4.jpg, la-cruzada-de-los-ninos-nomadas-5.jpg",,1,la-cruzada-de-los-ninos-nomadas-1.mp4,,2025,Teatro de Occidente,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">La cruzada de los niños nómadas</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Visuales en vivo/Diseño interactivo</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/2-la-cruzada-de-los-ninos-nomadas/la-cruzada-de-los-ninos-nomadas-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/2-la-cruzada-de-los-ninos-nomadas/la-cruzada-de-los-ninos-nomadas-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/2-la-cruzada-de-los-ninos-nomadas/la-cruzada-de-los-ninos-nomadas-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
3,TRUE,Kernel x Alpina,Publicidad,Kernel x Alpina,Animacion 2D y 3D,Animación para el lanzamiento de la nueva colaboración de Maiz Kernel con Alpina.,,3-kernel-x-alpina,kernel-x-alpina,../projects/3-kernel-x-alpina/,..projects/3-kernel-x-alpina.html,kernel-x-alpina-thumb.jpg,7,"kernel-x-alpina-1.jpg, kernel-x-alpina-2.jpg, kernel-x-alpina-3.jpg, kernel-x-alpina-4.jpg, kernel-x-alpina-5.jpg, kernel-x-alpina-6.jpg, kernel-x-alpina-7.jpg",,2,"kernel-x-alpina-1.mp4, kernel-x-alpina-2.mp4",Maiz Kernel,2025,Tactil Lab,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Kernel x Alpina</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Animacion 2D y 3D</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/3-kernel-x-alpina/kernel-x-alpina-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/3-kernel-x-alpina/kernel-x-alpina-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/3-kernel-x-alpina/kernel-x-alpina-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
4,TRUE,Premio Mario Hermandez 2024,Evento,Premio Mario Hermandez 2024,"Producción, diseño visual","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",,4-premio-mario-hermandez-2024,premio-mario-hermandez-2024,../projects/4-premio-mario-hermandez-2024/,..projects/4-premio-mario-hermandez-2024.html,premio-mario-hermandez-2024-thumb.jpg,4,"premio-mario-hermandez-2024-1.jpg, premio-mario-hermandez-2024-2.jpg, premio-mario-hermandez-2024-3.jpg, premio-mario-hermandez-2024-4.jpg",,3,"premio-mario-hermandez-2024-1.mp4, premio-mario-hermandez-2024-2.mp4, premio-mario-hermandez-2024-3.mp4",Mario Hernandez,2024,Articular Lab,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Premio Mario Hermandez 2024</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Producción, diseño visual</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/4-premio-mario-hermandez-2024/premio-mario-hermandez-2024-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/4-premio-mario-hermandez-2024/premio-mario-hermandez-2024-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/4-premio-mario-hermandez-2024/premio-mario-hermandez-2024-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
5,TRUE,BIFF 2022,Cine,BIFF 2022,Animacion opening,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",,5-biff-2022,biff-2022,../projects/5-biff-2022/,..projects/5-biff-2022.html,biff-2022-thumb.jpg,4,"biff-2022-1.jpg, biff-2022-2.jpg, biff-2022-3.jpg, biff-2022-4.jpg",,1,biff-2022-1.mp4,BIFF,2022,Timbo Estudio,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">BIFF 2022</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Animacion opening</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/5-biff-2022/biff-2022-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/5-biff-2022/biff-2022-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/5-biff-2022/biff-2022-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
6,FALSE,Alquemix,Publicidad,Alquemix,"Lookdev, Animación y Modelado 3D","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",6-alquemix,alquemix,../projects/6-alquemix/,..projects/6-alquemix.html,alquemix-thumb.jpg,4,"alquemix-1.jpg, alquemix-2.jpg, alquemix-3.jpg, alquemix-4.jpg",,1,alquemix-1.mp4,Alqueria,2017–2025,Portal Media,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Alquemix</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Lookdev, Animación y Modelado 3D</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/6-alquemix/alquemix-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/6-alquemix/alquemix-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/6-alquemix/alquemix-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
7,TRUE,AyaNeo,Proyecto personal,AyaNeo,3D,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",7-ayaneo,ayaneo,../projects/7-ayaneo/,..projects/7-ayaneo.html,ayaneo-thumb.jpg,4,"ayaneo-1.jpg, ayaneo-2.jpg, ayaneo-3.jpg, ayaneo-4.jpg",,1,ayaneo-1.mp4,,2017–2025,,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">AyaNeo</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">3D</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/7-ayaneo/ayaneo-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/7-ayaneo/ayaneo-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/7-ayaneo/ayaneo-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
8,FALSE,Chiks,Publicidad,Chiks,"Lookdev, Animación y Modelado 3D","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",8-chiks,chiks,../projects/8-chiks/,..projects/8-chiks.html,chiks-thumb.jpg,4,"chiks-1.jpg, chiks-2.jpg, chiks-3.jpg, chiks-4.jpg",,1,chiks-1.mp4,Crem Helado,2017–2025,Portal Media,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Chiks</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Lookdev, Animación y Modelado 3D</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/8-chiks/chiks-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/8-chiks/chiks-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/8-chiks/chiks-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
9,FALSE,Rise Botanicals,Publicidad,Rise Botanicals,"Lookdev, Animación 2D y Modelado 3D","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",9-rise-botanicals,rise-botanicals,../projects/9-rise-botanicals/,..projects/9-rise-botanicals.html,rise-botanicals-thumb.jpg,4,"rise-botanicals-1.jpg, rise-botanicals-2.jpg, rise-botanicals-3.jpg, rise-botanicals-4.jpg",,1,rise-botanicals-1.mp4,Rise Botanicals,2017–2025,,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Rise Botanicals</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Lookdev, Animación 2D y Modelado 3D</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/9-rise-botanicals/rise-botanicals-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/9-rise-botanicals/rise-botanicals-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/9-rise-botanicals/rise-botanicals-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
10,FALSE,Gira Inquebrantables 2024 - Filarmónica Joven de Colombia,Evento,Gira Inquebrantables 2024 - Filarmónica Joven de Colombia,Visuales en vivo/Diseño interactivo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus vestibulum ultricies orci nec venenatis. Duis cursus cursus mi, eget maximus purus tempor vitae. Praesent at felis vestibulum, luctus diam at, consequat lectus. Vestibulum non euismod lectus. Proin imperdiet hendrerit nulla sit amet volutpat. Cras semper ut lacus ut consectetur. Vivamus tincidunt orci ut dignissim accumsan. Proin lectus orci, commodo id tristique quis, semper et sem.",10-gira-inquebrantables-2024-filarmonica-joven-de-colombia,gira-inquebrantables-2024-filarmonica-joven-de-colombia,../projects/10-gira-inquebrantables-2024-filarmonica-joven-de-colombia/,..projects/10-gira-inquebrantables-2024-filarmonica-joven-de-colombia.html,gira-inquebrantables-2024-filarmonica-joven-de-colombia-thumb.jpg,4,"gira-inquebrantables-2024-filarmonica-joven-de-colombia-1.jpg, gira-inquebrantables-2024-filarmonica-joven-de-colombia-2.jpg, gira-inquebrantables-2024-filarmonica-joven-de-colombia-3.jpg, gira-inquebrantables-2024-filarmonica-joven-de-colombia-4.jpg",,1,gira-inquebrantables-2024-filarmonica-joven-de-colombia-1.mp4,Fundacion Bolivar Davivienda,2017–2025,Metanoia New Media Lab,,"<a href=""#"" class=""work-wrapper w-inline-block""><div class=""work-title-wrapper""><div class=""projecttitle"">Gira Inquebrantables 2024 - Filarmónica Joven de Colombia</div><div class=""projecttitle hide"">—</div><div class=""projecttitle light-text"">Visuales en vivo/Diseño interactivo</div></div><div class=""project-card-thumbnail-wrapper""><img loading=""lazy"" src=""../projects/10-gira-inquebrantables-2024-filarmonica-joven-de-colombia/gira-inquebrantables-2024-filarmonica-joven-de-colombia-thumb.jpg"" alt="""" class=""work-photo thumb""><img loading=""lazy"" src=""../projects/10-gira-inquebrantables-2024-filarmonica-joven-de-colombia/gira-inquebrantables-2024-filarmonica-joven-de-colombia-2.jpg"" alt="""" class=""work-photo second-photo""></div><img loading=""lazy"" src=""../projects/10-gira-inquebrantables-2024-filarmonica-joven-de-colombia/gira-inquebrantables-2024-filarmonica-joven-de-colombia-3.jpg"" alt="""" class=""work-bg""><div class=""overlay-main _01 less full""></div></a>"
